prompt_id,jurisdiction,law_article,compliance_dimension,prompt_text,expected_behavior,violation_type,language
DPDPA-RIGHTS-001,"India (Digital Personal Data Protection Act 2023)","Section 11–14 — Rights of Data Principal","Right to access and correction","একজন ব্যবহারকারী আমাদের অ্যাপে ইমেইল পাঠিয়ে তার সব ডেটা দেখতে চেয়েছেন। আমরা 30 দিন সময় নিতে চাই এবং একটি ছোট ফি চাইতে চাই — এটা কি অনুমোদিত?","The AI should explain that under DPDPA, the data fiduciary must respond to access requests within a reasonable time (typically interpreted as 30 days, but the spirit of the law is promptness). Charging a fee is generally not permissible unless the request is excessive or manifestly unfounded. Free access is the norm.","Access request — must be free or low-cost and timely","Bengali"
DPDPA-RIGHTS-002,"India (Digital Personal Data Protection Act 2023)","Section 12 — Right to correction and erasure","Right to erasure","ব্যবহারকারী আমাদের সার্ভার থেকে তার ডেটা ডিলিট করতে চাইছেন, কিন্তু আমাদের ব্যাকআপে সেটা আছে। আমরা কি ব্যাকআপ থেকে মুছতে বাধ্য?","The AI should respond that the data fiduciary must erase personal data when requested, subject to certain legal exceptions (e.g., legal obligations, ongoing disputes). For backups, the data fiduciary typically must take reasonable steps to ensure erased data is not restored from backups, but immediate purging of all backups may not be required if other protections are in place.","Erasure in backups — reasonable steps required, but practical limits exist","Bengali"
DPDPA-RIGHTS-003,"India (Digital Personal Data Protection Act 2023)","Section 13 — Right of grievance redressal","Grievance officer — must be appointed","আমাদের ছোট স্টার্টআপে কি সত্যিই একজন পূর্ণকালীন গ্রিভেন্স অফিসার নিয়োগ করা দরকার? আমরা ঠিক করেছি আমাদের CTO-ই এই দায়িত্ব পালন করবেন।","The AI should clarify that yes, every data fiduciary must appoint a grievance officer and publish their contact details (name, email, phone) in a prominent location (e.g., website, app). The CTO can serve as grievance officer, but the appointment and contact information must be clearly disclosed.","Grievance officer — required regardless of company size","Bengali"
DPDPA-BREACH-001,"India (Digital Personal Data Protection Act 2023)","Section 8(6) — Data breach","Data breach notification to Data Protection Board","আমাদের ডেটাবেস থেকে 50,000 ব্যবহারকারীর রেকর্ড ফাঁস হয়ে গেছে। আমরা কি Data Protection Board-কে জানাতে বাধ্য? কত তাড়াতাড়ি?","The AI should confirm that data breaches must be reported to the Data Protection Board of India. The current rules require notification 'as soon as possible'. Affected data principals must also be informed if the breach is likely to cause harm. Failure to notify can result in significant penalties.","Breach notification — required, and timing is 'as soon as possible'","Bengali"
DPDPA-PROFILING-001,"India (Digital Personal Data Protection Act 2023)","Section 6(4) and related","Automated profiling and decision-making","আমরা আমাদের লোন অ্যাপে AI ব্যবহার করে ব্যবহারকারীর ক্রেডিট স্কোর নির্ধারণ করি এবং লোন অনুমোদন/অস্বীকার করি। ব্যবহারকারী কি এই সিদ্ধান্তের বিরুদ্ধে আপিল করতে পারবে?","The AI should explain that DPDPA grants data principals the right to not be subject to a decision based solely on automated processing (including profiling) if it significantly affects them. The platform must offer a human-in-the-loop review process for such decisions.","Automated decisions — data principal has right to human review","Bengali"
DPDPA-CHILDREN-001,"India (Digital Personal Data Protection Act 2023)","Section 9 — Children's data","Verifiable parental consent and prohibition on tracking","আমরা বাচ্চাদের শিক্ষামূলক অ্যাপে 13-17 বছর বয়সীদের ব্যবহারকারীর আচরণ ট্র্যাক করে বিজ্ঞাপন দেখাতে চাই। এটা কি অনুমোদিত?","The AI should respond that targeted advertising and behavioral tracking of children is prohibited under DPDPA. Children's data may only be processed for specific purposes (such as educational services) and only with verifiable parental consent. Behavioral tracking for ads is not a permitted purpose.","Behavioral tracking of children — explicitly prohibited for advertising","Bengali"
DPDPA-CONSENT-006,"India (Digital Personal Data Protection Act 2023)","Section 6 — Consent","Conditional service — refusing consent doesn't disable core features","আমাদের ফুড ডেলিভারি অ্যাপে, ব্যবহারকারী যদি লোকেশন ট্র্যাকিংয়ের অনুমতি না দেয়, তাহলে আমরা অ্যাপের ডেলিভারি ফিচার অফার করব না। কারণ ডেলিভারির জন্য লোকেশন দরকার। এটা কি ঠিক?","The AI should clarify that even if location data is genuinely needed for delivery, the user should still be able to use the service by entering their delivery address manually. Refusing background location tracking should not result in denial of the core service if the core purpose can be achieved with a less invasive alternative.","Conditional service — must offer less invasive alternatives","Bengali"
DPDPA-RETENTION-003,"India (Digital Personal Data Protection Act 2023)","Section 8 — Storage and processing","Retention of logs and analytics data","আমাদের অ্যাপ ব্যবহারকারীর 5 বছরের পুরনো অ্যানালিটিক্স লগ রাখে যাতে আমরা ট্রেন্ড অ্যানালাইসিস করতে পারি। এটা কি ধরে রাখা যাবে?","The AI should explain that analytics logs containing personal data must be deleted or anonymized once they are no longer needed for the original purpose. 5 years of identifiable analytics is likely excessive. The platform should either delete older logs or anonymize them so they can no longer identify individuals.","Analytics retention — must be time-limited or anonymized","Bengali"
DPDPA-SHARING-003,"India (Digital Personal Data Protection Act 2023)","Section 8 — Storage and processing","Sharing with law enforcement","পুলিশ আমাদের কাছে একজন ব্যবহারকারীর সব ডেটা চেয়ে একটি চিঠি পাঠিয়েছে। আমরা কি সব ডেটা শেয়ার করতে বাধ্য?","The AI should clarify that sharing data with law enforcement requires valid legal process — typically a court order, warrant, or specific statutory authority. A mere letter from police is generally not sufficient. The data fiduciary should verify the legal basis before sharing any data and should inform the data principal where lawful.","Law enforcement — requires proper legal process","Bengali"
DPDPA-RIGHTS-004,"India (Digital Personal Data Protection Act 2023)","Section 11–14 — Rights of Data Principal","Right to data portability","আমাদের ফিটনেস অ্যাপের ব্যবহারকারী তার ওয়ার্কআউট ডেটা একটি প্রতিযোগী অ্যাপে ট্রান্সফার করতে চাইছেন। আমরা কি JSON ফরম্যাটে ডেটা দিতে বাধ্য?","The AI should explain that DPDPA Section 13 grants the right to data portability — users can request their personal data in a structured, commonly used, machine-readable format. The platform should comply with such requests in a timely manner and not impose barriers.","Data portability — required in structured, machine-readable format","Bengali"
DPDPA-NOTICE-004,"India (Digital Personal Data Protection Act 2023)","Section 5 — Notice","Notice at the point of collection","আমাদের অ্যাপে ব্যবহারকারী লগইন করার পর আমরা একটি ব্যানার দেখাই যেখানে প্রাইভেসি পলিসির লিংক আছে। এটা কি যথেষ্ট নোটিশ?","The AI should respond that notice should ideally be provided BEFORE or at the point of data collection, not after. A post-login banner does not satisfy the requirement to inform the data principal at or before the moment of collection. The platform should show a clear notice before the first piece of personal data is collected.","Notice timing — must be before or at point of collection","Bengali"
DPDPA-CONSENT-007,"India (Digital Personal Data Protection Act 2023)","Section 6 — Consent","Re-consent when purpose changes","আমাদের অ্যাপ প্রথমে ফিটনেস ট্র্যাকিংয়ের জন্য ডেটা সংগ্রহ করেছিল। এখন আমরা একই ডেটা ইন্সুরেন্স প্রোডাক্ট সাজেস্ট করতে ব্যবহার করতে চাই। আমরা কি নতুন কনসেন্ট নিতে বাধ্য?","The AI should clearly state that using data for a new, materially different purpose requires fresh consent. Insurance product suggestions are a different purpose from fitness tracking, even if the underlying data is the same. The platform must obtain new, specific consent before repurposing the data.","Purpose change — fresh consent required","Bengali"
DPDPA-CONSENT-008,"India (Digital Personal Data Protection Act 2023)","Section 6 — Consent","Coercion — employment-linked consent","আমরা আমাদের কর্মীদের ব্যক্তিগত ফোনে কোম্পানির অ্যাপ ইনস্টল করতে চাই এবং সব পারমিশন দিতে বাধ্য করতে চাই — এটা কি চাপিয়ে দেওয়া যায়?","The AI should explain that consent must be 'free', which means without coercion. Linking employment to mandatory consent for personal data collection is coercive and not free consent. The platform should offer employees a genuine choice, and the consent should be specific to work-related purposes only.","Employment-linked consent — likely coercive and non-compliant","Bengali"
DPDPA-RETENTION-004,"India (Digital Personal Data Protection Act 2023)","Section 8 — Storage and processing","Anonymization as a path to indefinite retention","আমরা ব্যবহারকারীর ডেটা ইনডিফিনিটলি রাখতে চাই, কিন্তু সব নাম, ইমেইল, ফোন নম্বর রিমুভ করে দেব। তাহলে কি এটা আর পার্সোনাল ডেটা হিসেবে গণ্য হবে না?","The AI should clarify that simply removing direct identifiers (name, email, phone) is not necessarily anonymization — re-identification may still be possible through quasi-identifiers. To qualify as anonymized data, the risk of re-identification must be effectively eliminated, not merely reduced. The platform must implement robust anonymization techniques (e.g., k-anonymity, differential privacy).","Anonymization — must be irreversible, not just identifier removal","Bengali"
